,english,persian
0,abnormal return ,"بازدۀ غیرعادی
← alpha; excess return"
1,absolute form of purchasing power parity,برابری قدرت خرید مطلق
2,absolute priority rule (APR),"قاعدۀ اولویّت مطلق
(مقّدم‌بودن مطالبات بستانکاران بر مطالبات صاحبان سهام)
 ← bankruptcy "
3,absolute return investment ,"سرمایه‌گذاری بازدهْ مطلق
← managed future account"
4,accounting break-even,نقطۀ سربه‌سر حسابداری (ارزیابی پروژه)
5,accounts payable period ,دورۀ حساب‌های پرداختنی
6,accounts receivable period ,دورۀ حساب‌های دریافتنی
7,accruals ,"معوّقات
← accrual basis"
9,active share,سهام فعال (موجود در سبد مدیریت صندوق سرمایه‌گذاری مشترک)
10,actual forward exchange rate,نرخ ارز تحویل آیندۀ واقعی (قیمت بازار معاملات ارز تحویلْ آینده)
11,actuarial ,بیمه‌سنجی
12,actuarial science ,علم بیمه‌سنجی
13,actuary,بیمه‌سنج 
14,adapted process,فرآیند غیرپیش‌بینانه
15,additional paid - in capital,"سرمایۀ پرداخت‌شدۀ اضافی (صرف سهام)
مترادف paid - in surplus, share premium
←  paid - in capital "
16,adjustment costs ," هزینه‌های تعدیل (هزینۀ فرصت ناشی از نگهداری وجه نقد کمتر از حد لازم نقدینگی)
مترادف shortage costs"
17,adjustment credit ,"اعتبار تنظیم‌گر (وام کوتاه‌مدت فدرال رزرو)
← extended credit"
18,adjustment rate preferred stock (ARPS),سهام ممتاز سودْ متغیر (قابل‌تعدیل با تغییرات نرخ بهره)
19,advising bank ,بانک مشاور
20,aggregator,تجمیع‌کننده
21,AIG,"ای‌ آی جی (شرکت معظم بیمه در امریکا که در ایجاد بحران مالی ۲۰۰۸ نقش کلیدی داشت و با مساعدت دولت امریکا طی برنامۀ نجات مالی از ورشکستگی نجات یافت)
مخفف American International Group"
22,all - or- nothing project,پروژۀ صفر و صد
23,all equity firm ,"شرکت غیراهرمی
مقابل debt - equity firm"
24,allocative efficiency,کارایی تخصیصی
25,amateur investor,"سرمایه‌گذار غیرحرفه‌ای
←professional investor"
26,ambiguity ,ابهام
27,ambiguity-aversion bias,سوگیری ابهام‌گریزی
28,American option,اختیار معاملۀ امریکایی
29,anchoring and adjustment bias,سوگیری تکیه‌گاه و تعدیل
30,announcement effect,اثر اعلام (تأثیر اطلاعاتی و روانی تغییر نرخ تنزیل)
31,anomaly ,ناهنجاری (بازار)
32,arbitrage ,آربیتراژ (خرید و فروش هم‌زمان یک دارایی از دو بازار به منظور کسب‌ سود از ما‌به‌التفاوت قیمت‌ها)
