,persian,english
0,"۱.[به طور کلی] اعراض (از حق)
۲. [اختیار معامله] اعراض (از حق معامله)",abandonment
1,"قرارداد خريد لوح (بورس اوراق بهادار نيويورك)
← seat",ABC agreement
2,بلاتكليفي (اموال مجهول‌المالك و بلاوارث، مواد 28، 162 تا 169 و 866 قانون مدني),abeyance
3,"1. [مالی] قدرت پرداخت (وام‌گیرنده) 
مترادف ability to service
← fixed charge coverage
2. [اوراق قرضه‌ی شهرداری] قدرت درآمدزایی (ناشر)",ability to pay
4,"بازده‌ی غیرعادی 
← excess return",abnormal return
5,"فوق ارزش اسمی
← par value",above par
6,,ABS   → Automated Bond System
7," قاعد‌ه‌ی اولویت مطلق
(مقدم‌بودن مطالبات بستانکاران بر مطالبات سهام) 
← bamkruptcy",absolute priority rule
8,"حساب جذبي
مترادف adjunct account",absorption account
9,"نرخ جذب (مستغلات)

absorption rateنرخ جذب (مستغلات)",absorption rate
10,نقطه جذب (معاملات اوراق بهادار) absorption pointنقطه جذب (معاملات اوراق بهادار) ,absorption point
11,قيد حال شدن دين (قرارداد وام، رهن يا ساير قراردادها),acceleration clause
12,استهلاك سريع,acceleration depreciation
13,"سامانه بازيافت سريع هزينه استهلاك
 modified accelerated cost recovery system",accelerated cost recovery system - ACRS
14,پوشش بيمه‌اي مرگ ناشي از حوادث ,accidental death benefit
15,"حساب، ثبت حسابداري، حساب بانكي، حساب كارگزاري، دوره حساب، صورت وضعيت
	حساب (اعتباري)>
	ثبت حسابداري>
	حساب بانكي (بانك و مشتري)>
	حساب كارگزاري (كارگزار و مشتري)>
	دوره حساب (بورس)>
	صورت وضعيت (موجودي پذيره‌نويس اوراق بهادار تازه منتشرشده)",account
16, aggregation account aggregation aggregation,account aggregation
17,"اظهارنظر حسابرس

مترادف auditor's report, auditor's certificate

accountant's opinionاظهارنظر حسابرس",accountant's opinion
18,مانده حسابمانده حساب,account balance
19,"مسئول حساب مشتري (عامل مجاز كارگزاري)
مترادف registered representative
 broker
",account executive
